date,sku,demand,lead_time_days,unit_cost
2015-02-14,PCB-A100-CTRLBOARD,133,45,12.5
2015-02-15,PCB-A100-CTRLBOARD,156,45,12.5
2015-02-16,PCB-A100-CTRLBOARD,240,45,12.5
2015-02-17,PCB-A100-CTRLBOARD,285,45,12.5
2015-02-18,PCB-A100-CTRLBOARD,263,45,12.5
2015-02-19,PCB-A100-CTRLBOARD,200,45,12.5
2015-02-20,PCB-A100-CTRLBOARD,263,45,12.5
2015-02-21,PCB-A100-CTRLBOARD,165,45,12.5
2015-02-22,PCB-A100-CTRLBOARD,157,45,12.5
2015-02-23,PCB-A100-CTRLBOARD,271,45,12.5
2015-02-24,PCB-A100-CTRLBOARD,283,45,12.5
2015-02-25,PCB-A100-CTRLBOARD,280,45,12.5
2015-02-26,PCB-A100-CTRLBOARD,227,45,12.5
2015-02-27,PCB-A100-CTRLBOARD,243,45,12.5
2015-02-28,PCB-A100-CTRLBOARD,186,45,12.5
2015-03-01,PCB-A100-CTRLBOARD,206,45,12.5
2015-03-02,PCB-A100-CTRLBOARD,237,45,12.5
2015-03-03,PCB-A100-CTRLBOARD,246,45,12.5
2015-03-04,PCB-A100-CTRLBOARD,219,45,12.5
2015-03-05,PCB-A100-CTRLBOARD,216,45,12.5
2015-03-06,PCB-A100-CTRLBOARD,276,45,12.5
2015-03-07,PCB-A100-CTRLBOARD,217,45,12.5
2015-03-08,PCB-A100-CTRLBOARD,174,45,12.5
2015-03-09,PCB-A100-CTRLBOARD,281,45,12.5
2015-03-10,PCB-A100-CTRLBOARD,262,45,12.5
2015-03-11,PCB-A100-CTRLBOARD,232,45,12.5
2015-03-12,PCB-A100-CTRLBOARD,262,45,12.5
2015-03-13,PCB-A100-CTRLBOARD,297,45,12.5
2015-03-14,PCB-A100-CTRLBOARD,175,45,12.5
2015-03-15,PCB-A100-CTRLBOARD,223,45,12.5
2015-03-16,PCB-A100-CTRLBOARD,172,45,12.5
2015-03-17,PCB-A100-CTRLBOARD,275,45,12.5
2015-03-18,PCB-A100-CTRLBOARD,253,45,12.5
2015-03-19,PCB-A100-CTRLBOARD,242,45,12.5
2015-03-20,PCB-A100-CTRLBOARD,253,45,12.5
2015-03-21,PCB-A100-CTRLBOARD,116,45,12.5
2015-03-22,PCB-A100-CTRLBOARD,169,45,12.5
2015-03-23,PCB-A100-CTRLBOARD,261,45,12.5
2015-03-24,PCB-A100-CTRLBOARD,295,45,12.5
2015-03-25,PCB-A100-CTRLBOARD,235,45,12.5
2015-03-26,PCB-A100-CTRLBOARD,226,45,12.5
2015-03-27,PCB-A100-CTRLBOARD,235,45,12.5
2015-03-28,PCB-A100-CTRLBOARD,202,45,12.5
2015-03-29,PCB-A100-CTRLBOARD,185,45,12.5
2015-03-30,PCB-A100-CTRLBOARD,234,45,12.5
2015-03-31,PCB-A100-CTRLBOARD,265,45,12.5
2015-04-01,PCB-A100-CTRLBOARD,253,45,12.5
2015-04-02,PCB-A100-CTRLBOARD,279,45,12.5
2015-04-03,PCB-A100-CTRLBOARD,229,45,12.5
2015-04-04,PCB-A100-CTRLBOARD,165,45,12.5
2015-04-05,PCB-A100-CTRLBOARD,163,45,12.5
2015-04-06,PCB-A100-CTRLBOARD,206,45,12.5
2015-04-07,PCB-A100-CTRLBOARD,258,45,12.5
2015-04-08,PCB-A100-CTRLBOARD,257,45,12.5
2015-04-09,PCB-A100-CTRLBOARD,249,45,12.5
2015-04-10,PCB-A100-CTRLBOARD,242,45,12.5
2015-04-11,PCB-A100-CTRLBOARD,132,45,12.5
2015-04-12,PCB-A100-CTRLBOARD,162,45,12.5
2015-04-13,PCB-A100-CTRLBOARD,239,45,12.5
2015-04-14,PCB-A100-CTRLBOARD,225,45,12.5
2015-04-15,PCB-A100-CTRLBOARD,244,45,12.5
2015-04-16,PCB-A100-CTRLBOARD,261,45,12.5
2015-04-17,PCB-A100-CTRLBOARD,305,45,12.5
2015-04-18,PCB-A100-CTRLBOARD,179,45,12.5
2015-04-19,PCB-A100-CTRLBOARD,182,45,12.5
2015-04-20,PCB-A100-CTRLBOARD,246,45,12.5
2015-04-21,PCB-A100-CTRLBOARD,191,45,12.5
2015-04-22,PCB-A100-CTRLBOARD,248,45,12.5
2015-04-23,PCB-A100-CTRLBOARD,250,45,12.5
2015-04-24,PCB-A100-CTRLBOARD,322,45,12.5
2015-04-25,PCB-A100-CTRLBOARD,168,45,12.5
2015-04-26,PCB-A100-CTRLBOARD,183,45,12.5
2015-04-27,PCB-A100-CTRLBOARD,247,45,12.5
2015-04-28,PCB-A100-CTRLBOARD,213,45,12.5
2015-04-29,PCB-A100-CTRLBOARD,282,45,12.5
2015-04-30,PCB-A100-CTRLBOARD,271,45,12.5
2015-05-01,PCB-A100-CTRLBOARD,272,45,12.5
2015-05-02,PCB-A100-CTRLBOARD,146,45,12.5
2015-05-03,PCB-A100-CTRLBOARD,216,45,12.5
2015-05-04,PCB-A100-CTRLBOARD,206,45,12.5
2015-05-05,PCB-A100-CTRLBOARD,266,45,12.5
2015-05-06,PCB-A100-CTRLBOARD,314,45,12.5
2015-05-07,PCB-A100-CTRLBOARD,218,45,12.5
2015-05-08,PCB-A100-CTRLBOARD,231,45,12.5
2015-05-09,PCB-A100-CTRLBOARD,177,45,12.5
2015-05-10,PCB-A100-CTRLBOARD,159,45,12.5
2015-05-11,PCB-A100-CTRLBOARD,202,45,12.5
2015-05-12,PCB-A100-CTRLBOARD,250,45,12.5
2015-05-13,PCB-A100-CTRLBOARD,216,45,12.5
2015-05-14,PCB-A100-CTRLBOARD,263,45,12.5
2015-05-15,PCB-A100-CTRLBOARD,221,45,12.5
2015-05-16,PCB-A100-CTRLBOARD,220,45,12.5
2015-05-17,PCB-A100-CTRLBOARD,150,45,12.5
2015-05-18,PCB-A100-CTRLBOARD,239,45,12.5
2015-05-19,PCB-A100-CTRLBOARD,273,45,12.5
2015-05-20,PCB-A100-CTRLBOARD,212,45,12.5
2015-05-21,PCB-A100-CTRLBOARD,255,45,12.5
2015-05-22,PCB-A100-CTRLBOARD,288,45,12.5
2015-05-23,PCB-A100-CTRLBOARD,126,45,12.5
2015-05-24,PCB-A100-CTRLBOARD,180,45,12.5
2015-05-25,PCB-A100-CTRLBOARD,256,45,12.5
2015-05-26,PCB-A100-CTRLBOARD,272,45,12.5
2015-05-27,PCB-A100-CTRLBOARD,211,45,12.5
2015-05-28,PCB-A100-CTRLBOARD,209,45,12.5
2015-05-29,PCB-A100-CTRLBOARD,264,45,12.5
2015-05-30,PCB-A100-CTRLBOARD,183,45,12.5
2015-05-31,PCB-A100-CTRLBOARD,182,45,12.5
2015-06-01,PCB-A100-CTRLBOARD,259,45,12.5
2015-06-02,PCB-A100-CTRLBOARD,228,45,12.5
2015-06-03,PCB-A100-CTRLBOARD,255,45,12.5
2015-06-04,PCB-A100-CTRLBOARD,257,45,12.5
2015-06-05,PCB-A100-CTRLBOARD,227,45,12.5
2015-06-06,PCB-A100-CTRLBOARD,230,45,12.5
2015-06-07,PCB-A100-CTRLBOARD,188,45,12.5
2015-06-08,PCB-A100-CTRLBOARD,212,45,12.5
2015-06-09,PCB-A100-CTRLBOARD,268,45,12.5
2015-06-10,PCB-A100-CTRLBOARD,219,45,12.5
2015-06-11,PCB-A100-CTRLBOARD,271,45,12.5
2015-06-12,PCB-A100-CTRLBOARD,283,45,12.5
2015-06-13,PCB-A100-CTRLBOARD,149,45,12.5
2015-06-14,PCB-A100-CTRLBOARD,202,45,12.5
2015-06-15,PCB-A100-CTRLBOARD,260,45,12.5
2015-06-16,PCB-A100-CTRLBOARD,272,45,12.5
2015-06-17,PCB-A100-CTRLBOARD,304,45,12.5
2015-06-18,PCB-A100-CTRLBOARD,240,45,12.5
2015-06-19,PCB-A100-CTRLBOARD,225,45,12.5
2015-06-20,PCB-A100-CTRLBOARD,146,45,12.5
2015-06-21,PCB-A100-CTRLBOARD,148,45,12.5
2015-06-22,PCB-A100-CTRLBOARD,245,45,12.5
2015-06-23,PCB-A100-CTRLBOARD,257,45,12.5
2015-06-24,PCB-A100-CTRLBOARD,255,45,12.5
2015-06-25,PCB-A100-CTRLBOARD,272,45,12.5
2015-06-26,PCB-A100-CTRLBOARD,247,45,12.5
2015-06-27,PCB-A100-CTRLBOARD,216,45,12.5
2015-06-28,PCB-A100-CTRLBOARD,165,45,12.5
2015-06-29,PCB-A100-CTRLBOARD,328,45,12.5
2015-06-30,PCB-A100-CTRLBOARD,265,45,12.5
2015-07-01,PCB-A100-CTRLBOARD,220,45,12.5
2015-07-02,PCB-A100-CTRLBOARD,214,45,12.5
2015-07-03,PCB-A100-CTRLBOARD,261,45,12.5
2015-07-04,PCB-A100-CTRLBOARD,166,45,12.5
2015-07-05,PCB-A100-CTRLBOARD,194,45,12.5
2015-07-06,PCB-A100-CTRLBOARD,261,45,12.5
2015-07-07,PCB-A100-CTRLBOARD,244,45,12.5
2015-07-08,PCB-A100-CTRLBOARD,221,45,12.5
2015-07-09,PCB-A100-CTRLBOARD,201,45,12.5
2015-07-10,PCB-A100-CTRLBOARD,233,45,12.5
2015-07-11,PCB-A100-CTRLBOARD,198,45,12.5
2015-07-12,PCB-A100-CTRLBOARD,179,45,12.5
2015-07-13,PCB-A100-CTRLBOARD,209,45,12.5
2015-07-14,PCB-A100-CTRLBOARD,252,45,12.5
2015-07-15,PCB-A100-CTRLBOARD,258,45,12.5
2015-07-16,PCB-A100-CTRLBOARD,220,45,12.5
2015-07-17,PCB-A100-CTRLBOARD,251,45,12.5
2015-07-18,PCB-A100-CTRLBOARD,175,45,12.5
2015-07-19,PCB-A100-CTRLBOARD,139,45,12.5
2015-07-20,PCB-A100-CTRLBOARD,258,45,12.5
2015-07-21,PCB-A100-CTRLBOARD,264,45,12.5
2015-07-22,PCB-A100-CTRLBOARD,280,45,12.5
2015-07-23,PCB-A100-CTRLBOARD,279,45,12.5
2015-07-24,PCB-A100-CTRLBOARD,206,45,12.5
2015-07-25,PCB-A100-CTRLBOARD,145,45,12.5
2015-07-26,PCB-A100-CTRLBOARD,188,45,12.5
2015-07-27,PCB-A100-CTRLBOARD,263,45,12.5
2015-07-28,PCB-A100-CTRLBOARD,263,45,12.5
2015-07-29,PCB-A100-CTRLBOARD,363,45,12.5
2015-07-30,PCB-A100-CTRLBOARD,264,45,12.5
2015-07-31,PCB-A100-CTRLBOARD,281,45,12.5
2015-08-01,PCB-A100-CTRLBOARD,202,45,12.5
2015-08-02,PCB-A100-CTRLBOARD,193,45,12.5
2015-08-03,PCB-A100-CTRLBOARD,238,45,12.5
2015-08-04,PCB-A100-CTRLBOARD,270,45,12.5
2015-08-05,PCB-A100-CTRLBOARD,225,45,12.5
2015-08-06,PCB-A100-CTRLBOARD,241,45,12.5
2015-08-07,PCB-A100-CTRLBOARD,233,45,12.5
2015-08-08,PCB-A100-CTRLBOARD,176,45,12.5
2015-08-09,PCB-A100-CTRLBOARD,243,45,12.5
2015-08-10,PCB-A100-CTRLBOARD,192,45,12.5
2015-08-11,PCB-A100-CTRLBOARD,269,45,12.5
2015-08-12,PCB-A100-CTRLBOARD,200,45,12.5
2015-08-13,PCB-A100-CTRLBOARD,234,45,12.5
2015-08-14,PCB-A100-CTRLBOARD,281,45,12.5
2015-08-15,PCB-A100-CTRLBOARD,176,45,12.5
2015-08-16,PCB-A100-CTRLBOARD,142,45,12.5
2015-08-17,PCB-A100-CTRLBOARD,227,45,12.5
2015-08-18,PCB-A100-CTRLBOARD,269,45,12.5
2015-08-19,PCB-A100-CTRLBOARD,227,45,12.5
2015-08-20,PCB-A100-CTRLBOARD,255,45,12.5
2015-08-21,PCB-A100-CTRLBOARD,250,45,12.5
2015-08-22,PCB-A100-CTRLBOARD,155,45,12.5
2015-08-23,PCB-A100-CTRLBOARD,239,45,12.5
2015-08-24,PCB-A100-CTRLBOARD,268,45,12.5
2015-08-25,PCB-A100-CTRLBOARD,188,45,12.5
2015-08-26,PCB-A100-CTRLBOARD,255,45,12.5
2015-08-27,PCB-A100-CTRLBOARD,229,45,12.5
2015-08-28,PCB-A100-CTRLBOARD,275,45,12.5
2015-08-29,PCB-A100-CTRLBOARD,151,45,12.5
2015-08-30,PCB-A100-CTRLBOARD,171,45,12.5
2015-08-31,PCB-A100-CTRLBOARD,265,45,12.5
2015-09-01,PCB-A100-CTRLBOARD,276,45,12.5
2015-09-02,PCB-A100-CTRLBOARD,214,45,12.5
2015-09-03,PCB-A100-CTRLBOARD,240,45,12.5
2015-09-04,PCB-A100-CTRLBOARD,236,45,12.5
2015-09-05,PCB-A100-CTRLBOARD,155,45,12.5
2015-09-06,PCB-A100-CTRLBOARD,228,45,12.5
2015-09-07,PCB-A100-CTRLBOARD,262,45,12.5
2015-09-08,PCB-A100-CTRLBOARD,212,45,12.5
2015-09-09,PCB-A100-CTRLBOARD,277,45,12.5
2015-09-10,PCB-A100-CTRLBOARD,314,45,12.5
2015-09-11,PCB-A100-CTRLBOARD,281,45,12.5
2015-09-12,PCB-A100-CTRLBOARD,129,45,12.5
2015-09-13,PCB-A100-CTRLBOARD,161,45,12.5
2015-09-14,PCB-A100-CTRLBOARD,288,45,12.5
2015-09-15,PCB-A100-CTRLBOARD,229,45,12.5
2015-09-16,PCB-A100-CTRLBOARD,263,45,12.5
2015-09-17,PCB-A100-CTRLBOARD,273,45,12.5
2015-09-18,PCB-A100-CTRLBOARD,222,45,12.5
2015-09-19,PCB-A100-CTRLBOARD,173,45,12.5
2015-09-20,PCB-A100-CTRLBOARD,78,45,12.5
2015-09-21,PCB-A100-CTRLBOARD,220,45,12.5
2015-09-22,PCB-A100-CTRLBOARD,243,45,12.5
2015-09-23,PCB-A100-CTRLBOARD,213,45,12.5
2015-09-24,PCB-A100-CTRLBOARD,299,45,12.5
2015-09-25,PCB-A100-CTRLBOARD,208,45,12.5
2015-09-26,PCB-A100-CTRLBOARD,162,45,12.5
2015-09-27,PCB-A100-CTRLBOARD,179,45,12.5
2015-09-28,PCB-A100-CTRLBOARD,294,45,12.5
2015-09-29,PCB-A100-CTRLBOARD,207,45,12.5
2015-09-30,PCB-A100-CTRLBOARD,285,45,12.5
2015-10-01,PCB-A100-CTRLBOARD,251,45,12.5
2015-10-02,PCB-A100-CTRLBOARD,221,45,12.5
2015-10-03,PCB-A100-CTRLBOARD,189,45,12.5
2015-10-04,PCB-A100-CTRLBOARD,182,45,12.5
2015-10-05,PCB-A100-CTRLBOARD,233,45,12.5
2015-10-06,PCB-A100-CTRLBOARD,253,45,12.5
2015-10-07,PCB-A100-CTRLBOARD,239,45,12.5
2015-10-08,PCB-A100-CTRLBOARD,254,45,12.5
2015-10-09,PCB-A100-CTRLBOARD,271,45,12.5
2015-10-10,PCB-A100-CTRLBOARD,223,45,12.5
2015-10-11,PCB-A100-CTRLBOARD,139,45,12.5
2015-10-12,PCB-A100-CTRLBOARD,315,45,12.5
2015-10-13,PCB-A100-CTRLBOARD,193,45,12.5
2015-10-14,PCB-A100-CTRLBOARD,247,45,12.5
2015-10-15,PCB-A100-CTRLBOARD,269,45,12.5
2015-10-16,PCB-A100-CTRLBOARD,260,45,12.5
2015-10-17,PCB-A100-CTRLBOARD,157,45,12.5
2015-10-18,PCB-A100-CTRLBOARD,170,45,12.5
2015-10-19,PCB-A100-CTRLBOARD,237,45,12.5
2015-10-20,PCB-A100-CTRLBOARD,234,45,12.5
2015-10-21,PCB-A100-CTRLBOARD,277,45,12.5
2015-10-22,PCB-A100-CTRLBOARD,263,45,12.5
2015-10-23,PCB-A100-CTRLBOARD,231,45,12.5
2015-10-24,PCB-A100-CTRLBOARD,203,45,12.5
2015-10-25,PCB-A100-CTRLBOARD,186,45,12.5
2015-10-26,PCB-A100-CTRLBOARD,276,45,12.5
2015-10-27,PCB-A100-CTRLBOARD,271,45,12.5
2015-10-28,PCB-A100-CTRLBOARD,227,45,12.5
2015-10-29,PCB-A100-CTRLBOARD,235,45,12.5
2015-10-30,PCB-A100-CTRLBOARD,275,45,12.5
2015-10-31,PCB-A100-CTRLBOARD,195,45,12.5
2015-11-01,PCB-A100-CTRLBOARD,176,45,12.5
2015-11-02,PCB-A100-CTRLBOARD,256,45,12.5
2015-11-03,PCB-A100-CTRLBOARD,291,45,12.5
2015-11-04,PCB-A100-CTRLBOARD,235,45,12.5
2015-11-05,PCB-A100-CTRLBOARD,270,45,12.5
2015-11-06,PCB-A100-CTRLBOARD,247,45,12.5
2015-11-07,PCB-A100-CTRLBOARD,171,45,12.5
2015-11-08,PCB-A100-CTRLBOARD,210,45,12.5
2015-11-09,PCB-A100-CTRLBOARD,279,45,12.5
2015-11-10,PCB-A100-CTRLBOARD,278,45,12.5
2015-11-11,PCB-A100-CTRLBOARD,293,45,12.5
2015-11-12,PCB-A100-CTRLBOARD,255,45,12.5
2015-11-13,PCB-A100-CTRLBOARD,275,45,12.5
2015-11-14,PCB-A100-CTRLBOARD,169,45,12.5
2015-11-15,PCB-A100-CTRLBOARD,188,45,12.5
2015-11-16,PCB-A100-CTRLBOARD,251,45,12.5
2015-11-17,PCB-A100-CTRLBOARD,258,45,12.5
2015-11-18,PCB-A100-CTRLBOARD,273,45,12.5
2015-11-19,PCB-A100-CTRLBOARD,231,45,12.5
2015-11-20,PCB-A100-CTRLBOARD,318,45,12.5
2015-11-21,PCB-A100-CTRLBOARD,149,45,12.5
2015-11-22,PCB-A100-CTRLBOARD,143,45,12.5
2015-11-23,PCB-A100-CTRLBOARD,291,45,12.5
2015-11-24,PCB-A100-CTRLBOARD,280,45,12.5
2015-11-25,PCB-A100-CTRLBOARD,275,45,12.5
2015-11-26,PCB-A100-CTRLBOARD,275,45,12.5
2015-11-27,PCB-A100-CTRLBOARD,256,45,12.5
2015-11-28,PCB-A100-CTRLBOARD,153,45,12.5
2015-11-29,PCB-A100-CTRLBOARD,182,45,12.5
2015-11-30,PCB-A100-CTRLBOARD,237,45,12.5
2015-12-01,PCB-A100-CTRLBOARD,287,45,12.5
2015-12-02,PCB-A100-CTRLBOARD,253,45,12.5
2015-12-03,PCB-A100-CTRLBOARD,233,45,12.5
2015-12-04,PCB-A100-CTRLBOARD,248,45,12.5
2015-12-05,PCB-A100-CTRLBOARD,193,45,12.5
2015-12-06,PCB-A100-CTRLBOARD,163,45,12.5
2015-12-07,PCB-A100-CTRLBOARD,233,45,12.5
2015-12-08,PCB-A100-CTRLBOARD,265,45,12.5
2015-12-09,PCB-A100-CTRLBOARD,265,45,12.5
2015-12-10,PCB-A100-CTRLBOARD,242,45,12.5
2015-12-11,PCB-A100-CTRLBOARD,243,45,12.5
2015-12-12,PCB-A100-CTRLBOARD,187,45,12.5
2015-12-13,PCB-A100-CTRLBOARD,137,45,12.5
2015-12-14,PCB-A100-CTRLBOARD,215,45,12.5
2015-12-15,PCB-A100-CTRLBOARD,236,45,12.5
2015-12-16,PCB-A100-CTRLBOARD,251,45,12.5
2015-12-17,PCB-A100-CTRLBOARD,267,45,12.5
2015-12-18,PCB-A100-CTRLBOARD,302,45,12.5
2015-12-19,PCB-A100-CTRLBOARD,206,45,12.5
2015-12-20,PCB-A100-CTRLBOARD,176,45,12.5
2015-12-21,PCB-A100-CTRLBOARD,257,45,12.5
2015-12-22,PCB-A100-CTRLBOARD,228,45,12.5
2015-12-23,PCB-A100-CTRLBOARD,257,45,12.5
2015-12-24,PCB-A100-CTRLBOARD,249,45,12.5
2015-12-25,PCB-A100-CTRLBOARD,268,45,12.5
2015-12-26,PCB-A100-CTRLBOARD,156,45,12.5
2015-12-27,PCB-A100-CTRLBOARD,196,45,12.5
2015-12-28,PCB-A100-CTRLBOARD,304,45,12.5
2015-12-29,PCB-A100-CTRLBOARD,255,45,12.5
2015-12-30,PCB-A100-CTRLBOARD,270,45,12.5
2015-12-31,PCB-A100-CTRLBOARD,279,45,12.5
2016-01-01,PCB-A100-CTRLBOARD,246,45,12.5
2016-01-02,PCB-A100-CTRLBOARD,187,45,12.5
2016-01-03,PCB-A100-CTRLBOARD,181,45,12.5
2016-01-04,PCB-A100-CTRLBOARD,261,45,12.5
2016-01-05,PCB-A100-CTRLBOARD,235,45,12.5
2016-01-06,PCB-A100-CTRLBOARD,259,45,12.5
2016-01-07,PCB-A100-CTRLBOARD,273,45,12.5
2016-01-08,PCB-A100-CTRLBOARD,302,45,12.5
2016-01-09,PCB-A100-CTRLBOARD,210,45,12.5
2016-01-10,PCB-A100-CTRLBOARD,246,45,12.5
2016-01-11,PCB-A100-CTRLBOARD,236,45,12.5
2016-01-12,PCB-A100-CTRLBOARD,285,45,12.5
2016-01-13,PCB-A100-CTRLBOARD,264,45,12.5
2016-01-14,PCB-A100-CTRLBOARD,325,45,12.5
2016-01-15,PCB-A100-CTRLBOARD,235,45,12.5
2016-01-16,PCB-A100-CTRLBOARD,156,45,12.5
2016-01-17,PCB-A100-CTRLBOARD,163,45,12.5
2016-01-18,PCB-A100-CTRLBOARD,196,45,12.5
2016-01-19,PCB-A100-CTRLBOARD,244,45,12.5
2016-01-20,PCB-A100-CTRLBOARD,237,45,12.5
2016-01-21,PCB-A100-CTRLBOARD,264,45,12.5
2016-01-22,PCB-A100-CTRLBOARD,270,45,12.5
2016-01-23,PCB-A100-CTRLBOARD,238,45,12.5
2016-01-24,PCB-A100-CTRLBOARD,210,45,12.5
2016-01-25,PCB-A100-CTRLBOARD,242,45,12.5
2016-01-26,PCB-A100-CTRLBOARD,233,45,12.5
2016-01-27,PCB-A100-CTRLBOARD,275,45,12.5
2016-01-28,PCB-A100-CTRLBOARD,220,45,12.5
2016-01-29,PCB-A100-CTRLBOARD,315,45,12.5
2016-01-30,PCB-A100-CTRLBOARD,217,45,12.5
2016-01-31,PCB-A100-CTRLBOARD,168,45,12.5
2016-02-01,PCB-A100-CTRLBOARD,209,45,12.5
2016-02-02,PCB-A100-CTRLBOARD,301,45,12.5
2016-02-03,PCB-A100-CTRLBOARD,257,45,12.5
2016-02-04,PCB-A100-CTRLBOARD,298,45,12.5
2016-02-05,PCB-A100-CTRLBOARD,213,45,12.5
2016-02-06,PCB-A100-CTRLBOARD,164,45,12.5
2016-02-07,PCB-A100-CTRLBOARD,183,45,12.5
2016-02-08,PCB-A100-CTRLBOARD,262,45,12.5
2016-02-09,PCB-A100-CTRLBOARD,247,45,12.5
2016-02-10,PCB-A100-CTRLBOARD,279,45,12.5
2016-02-11,PCB-A100-CTRLBOARD,229,45,12.5
2016-02-12,PCB-A100-CTRLBOARD,257,45,12.5
2016-02-13,PCB-A100-CTRLBOARD,186,45,12.5
2016-02-14,PCB-A100-CTRLBOARD,198,45,12.5
2016-02-15,PCB-A100-CTRLBOARD,282,45,12.5
2016-02-16,PCB-A100-CTRLBOARD,227,45,12.5
2016-02-17,PCB-A100-CTRLBOARD,215,45,12.5
2016-02-18,PCB-A100-CTRLBOARD,299,45,12.5
2016-02-19,PCB-A100-CTRLBOARD,271,45,12.5
2016-02-20,PCB-A100-CTRLBOARD,160,45,12.5
2016-02-21,PCB-A100-CTRLBOARD,229,45,12.5
2016-02-22,PCB-A100-CTRLBOARD,265,45,12.5
2016-02-23,PCB-A100-CTRLBOARD,297,45,12.5
2016-02-24,PCB-A100-CTRLBOARD,263,45,12.5
2016-02-25,PCB-A100-CTRLBOARD,323,45,12.5
2016-02-26,PCB-A100-CTRLBOARD,314,45,12.5
2016-02-27,PCB-A100-CTRLBOARD,176,45,12.5
2016-02-28,PCB-A100-CTRLBOARD,212,45,12.5
2016-02-29,PCB-A100-CTRLBOARD,281,45,12.5
2016-03-01,PCB-A100-CTRLBOARD,303,45,12.5
2016-03-02,PCB-A100-CTRLBOARD,233,45,12.5
2016-03-03,PCB-A100-CTRLBOARD,282,45,12.5
2016-03-04,PCB-A100-CTRLBOARD,294,45,12.5
2016-03-05,PCB-A100-CTRLBOARD,131,45,12.5
2016-03-06,PCB-A100-CTRLBOARD,148,45,12.5
2016-03-07,PCB-A100-CTRLBOARD,201,45,12.5
2016-03-08,PCB-A100-CTRLBOARD,254,45,12.5
2016-03-09,PCB-A100-CTRLBOARD,284,45,12.5
2016-03-10,PCB-A100-CTRLBOARD,308,45,12.5
2016-03-11,PCB-A100-CTRLBOARD,265,45,12.5
2016-03-12,PCB-A100-CTRLBOARD,233,45,12.5
2016-03-13,PCB-A100-CTRLBOARD,143,45,12.5
2016-03-14,PCB-A100-CTRLBOARD,212,45,12.5
2016-03-15,PCB-A100-CTRLBOARD,262,45,12.5
2016-03-16,PCB-A100-CTRLBOARD,275,45,12.5
2016-03-17,PCB-A100-CTRLBOARD,263,45,12.5
2016-03-18,PCB-A100-CTRLBOARD,202,45,12.5
2016-03-19,PCB-A100-CTRLBOARD,182,45,12.5
2016-03-20,PCB-A100-CTRLBOARD,146,45,12.5
2016-03-21,PCB-A100-CTRLBOARD,284,45,12.5
2016-03-22,PCB-A100-CTRLBOARD,275,45,12.5
2016-03-23,PCB-A100-CTRLBOARD,236,45,12.5
2016-03-24,PCB-A100-CTRLBOARD,249,45,12.5
2016-03-25,PCB-A100-CTRLBOARD,233,45,12.5
